category,subcategory,product_name,price,amt,unit,healthy_flag,allergen_any,trusted_brand,product_url
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Original Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Roll-16-oz/46575468?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Mild Premium Sausage with Added Sage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Mild-Premium-Sausage-with-Added-Sage-Roll-16-oz/10315302?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Hot Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Hot-Premium-Sausage-Roll-16-oz/47934589?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Original Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Roll-16-oz/46575468?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Original Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Roll-16-oz/46575468?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Hot Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Hot-Premium-Sausage-Roll-16-oz/47934589?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Original Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Roll-16-oz/46575468?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Original Premium Sausage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Roll-16-oz/46575468?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Mild Premium Sausage with Added Sage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Mild-Premium-Sausage-with-Added-Sage-Roll-16-oz/10315302?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Great Value Mild Premium Sausage with Added Sage Roll, 16 oz",2.32,473.176,ml,neutral,FALSE,TRUE,https://www.walmart.com/ip/Great-Value-Mild-Premium-Sausage-with-Added-Sage-Roll-16-oz/10315302?fulfillmentIntent=Pickup
