category,subcategory,product_name,price,amt,unit,healthy_flag,allergen_any,trusted_brand,product_url
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Bun Length Franks Family Pack, 48 Oz., 24 Count",4,1419.528,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Bar-S-Bun-Length-Franks-Family-Pack-48-Oz-24-Count/10290752?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar-S Classic Bologna Sliced Deli-Style Lunch Meat, 10 Slices Per Package, 12 Ounce Pack",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Classic-Bologna-Sliced-Deli-Style-Lunch-Meat-10-Slices-Per-Package-12-Ounce-Pack/29209893?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Bun Length Franks Family Pack, 48 Oz., 24 Count",4,1419.528,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Bar-S-Bun-Length-Franks-Family-Pack-48-Oz-24-Count/10290752?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar-S Classic Bologna Sliced Deli-Style Lunch Meat, 10 Slices Per Package, 12 Ounce Pack",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Classic-Bologna-Sliced-Deli-Style-Lunch-Meat-10-Slices-Per-Package-12-Ounce-Pack/29209893?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Bar S Franks Made with Chicken & Pork, 12 Oz.",1,354.882,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Bar-S-Franks-Made-with-Chicken-Pork-12-Oz/10290749?fulfillmentIntent=Pickup&athbdg=L1200
