category,subcategory,product_name,price,amt,unit,healthy_flag,allergen_any,trusted_brand,product_url
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Carolina Pride Red Hot Dogs Family Pack, 48 Oz.",8.219999999999999,1419.528,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Carolina-Pride-Red-Hot-Dogs-Family-Pack-48-Oz/117491252?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Carolina Pride Red Hot Dogs Family Pack, 48 Oz.",8.219999999999999,1419.528,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Carolina-Pride-Red-Hot-Dogs-Family-Pack-48-Oz/117491252?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Bun Size Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,TRUE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-30-oz-16-Ct/153611550?fulfillmentIntent=Pickup
"Bacon, Hot Dogs, Sausage","Bacon, Hot Dogs, Sausage","Ball Park Classic Hot Dogs, 30 oz, 16 Ct",6.14,887.2049999999999,ml,neutral,FALSE,FALSE,https://www.walmart.com/ip/Ball-Park-Classic-Hot-Dogs-30-oz-16-Ct/34632369?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.44,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.44,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
Baking Soda & Starch,Baking Soda & Starch,"Great Value Baking Soda, 64 Oz",2.54,1892.704,ml,unhealthy,TRUE,TRUE,https://www.walmart.com/ip/Great-Value-Baking-Soda-64-Oz/583743030?fulfillmentIntent=Pickup
