product_name,category
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk
"Great Value 2% Reduced Fat Milk, 128 Fl Oz",Milk
"Great Value 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Milk
"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",Milk
"Great Value 1% Low Fat Chocolate Milk, Gallon, 128 fl oz",Milk
"Great Value 1% Low Fat Chocolate Milk, Half Gallon, 64 fl oz",Milk
"Great Value 1% Low Fat Milk, Gallon, 128 fl oz",Milk
"Great Value Lactose Free 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Milk
"Lactaid 100% Lactose Free 2% Reduced Fat Milk, 96 fl oz",Milk
"Great Value Evaporated Milk, 12 Fl Oz",Milk
"fairlife 2% Reduced Fat Ultra-Filtered Milk, Lactose Free, 52 fl oz",Milk
"Blue Diamond Almond Breeze Unsweetened Vanilla Almond Milk, 96 fl oz",Milk
"Silk Original Almond Milk, 96 Oz.",Milk
"Great Value Fat Free Milk, Gallon, 128 fl oz",Milk
Califia Farms Extra Creamy Oat Milk 48 Fluid Ounces,Milk
"Kern's Original Horchata Milk & Rice Drink, 59 Fl. Oz.",Milk
"Yoo-hoo Chocolate Drink, 6.5 fl oz boxes, 10 pack",Milk
"Great Value 1% Low-Fat Milk, Half Gallon, 64 fl oz",Milk
"Great Value Skim Fat Free Milk, Half Gallon, 64 fl oz",Milk
"Silk Original Soy Milk, Half Gallon",Milk
"Silk Unsweetened Coconut Milk, Half Gallon",Milk
"Great Value Lactose Free Whole Vitamin D Milk, Half Gallon, 64 fl oz",Milk
"Sarah Farms Vitamin D Whole Milk, 1 Gallon",Milk
"Parmalat Whole Milk, 32 fl oz",Milk
Califia Farms Unsweetened Almond Milk 48 Fluid Ounces,Milk
"Lactaid 100% Lactose Free Whole Vitamin D Milk, 96 fl oz",Milk
"Silk Vanilla Almond Milk, Half Gallon",Milk
"Sarah Farms Vitamin D Milk, Half Gallon",Milk
