product_name,category
"Red Bull Energy Drink, 8.4 Fl Oz (12 pack)",Energy Drinks
"Red Bull Energy Drink, 8.4 Fl Oz (4 pack)",Energy Drinks
"Monster Energy Green, Original, 16 fl oz, 12 Pack",Energy Drinks
"V8 +ENERGY Orange Pineapple Energy Drink, 8 FL OZ Can (Pack of 6)",Energy Drinks
"V8 +ENERGY Pomegranate Blueberry Energy Drink, 8 FL OZ Can (Pack of 12)",Energy Drinks
"NOS High Performance Energy Drink, Original, 16 fl oz, 8 Pack",Energy Drinks
"Red Bull Energy Drink, 12 Fl Oz (4 pack)",Energy Drinks
"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Energy Drinks
"Red Bull Energy Drink, Watermelon, 12 Fl Oz (4 pack)",Energy Drinks
"Monster Energy Green, Original, Energy Drink, 16 fl oz, 4 Pack",Energy Drinks
"Java Monster Mean Bean, Coffee + Energy Drink, 15 Fl Oz",Energy Drinks
"V8 +ENERGY Peach Mango Energy Drink, 8 FL OZ Can (Pack of 12)",Energy Drinks
Alani Energy Drink-breezeberry-12oz,Energy Drinks
"Bucked Up Energy Drink, 300mg Caffeine, Rocket Pop, 16 fl oz",Energy Drinks
"Red Bull Energy Drink, Dragon Fruit, 12 Fl Oz",Energy Drinks
"Monster Ultra Variety Pack, Ultra Watermelon + Ultra Paradise 16 fl oz, Pack of 12",Energy Drinks
"V8 +ENERGY Black Cherry Energy Drink, 8 FL OZ Can (Pack of 6)",Energy Drinks
Bang Energy Drink WW 16 Fluid Ounce Single Can,Energy Drinks
"Monster Energy Green, Original, Energy Drink, 16 fl oz",Energy Drinks
"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 4 Pack",Energy Drinks
"Bang Blue Razz Energy Drink with Super Creatine, 16 oz, 4 Pack Cans",Energy Drinks
"Red Bull Energy Drink, Dragon Fruit, 12 Fl Oz (4 pack)",Energy Drinks
"Bang Peach Mango Energy Drink with Super Creatine, 16 oz Can",Energy Drinks
"Red Bull Energy Drink, 12 Fl Oz",Energy Drinks
"Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",Energy Drinks
"V8 +ENERGY Pomegranate Blueberry Energy Drink, 8 FL OZ Can (Pack of 6)",Energy Drinks
"Rockstar Punched Fruit Punch Energy Drink, 16 oz, 4 Pack Cans",Energy Drinks
"Red Bull Energy Drink, Blueberry, 12 Fl Oz (4 pack)",Energy Drinks
"Red Bull Energy Drink, Tropical, 12 Fl Oz (4 pack)",Energy Drinks
"Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (12 Pack)",Energy Drinks
"Juice Monster Mango Loco, Energy + Juice, 16 fl oz, 12 Pack",Energy Drinks
"V8 +ENERGY Diet Strawberry Lemonade Energy Drink, 8 FL OZ Can (Pack of 6)",Energy Drinks
"Rockstar Sugar Free Energy Drink, 16 fl oz",Energy Drinks
"Mtn Dew Energy, Strawberry Melon Spark, 16 oz can",Energy Drinks
Alani Energy Drink - Wm Variety-12 Pk,Energy Drinks
"Red Bull Energy Drink, Peach, 12 fl oz (4 Pack)",Energy Drinks
"Bang Cotton Candy Energy Drink, 16 fl oz",Energy Drinks
C4 Energy Drink + Strawberry Watermelon Ice + Zero Sugar + Explosive Energy + 16oz Single Can,Energy Drinks
"Red Bull Energy Drink, Variety Pack 8.4 Fl Oz (12 pack)",Energy Drinks
"Juice Monster Pipeline Punch, Energy + Juice, 16 fl oz, 4 Pack",Energy Drinks
"Mtn Dew Energy, Orange Breeze,16 oz can",Energy Drinks
"Mtn Dew Energy, Tropical Sunrise, 16 oz can",Energy Drinks
"Java Monster Loca Moca, Coffee + Energy Drink, 15 Fl Oz",Energy Drinks
Alani Energy Drink-cosmic Stardust-12oz,Energy Drinks
Alani Energy Drink-cherry Slush-12oz,Energy Drinks
"Mtn Dew Energy, Pomegranate Blue Burst,16 oz can",Energy Drinks
"Java Monster Mean Bean, Coffee + Energy Drink, 11 fl oz, 6 Pack",Energy Drinks
"V8 +ENERGY Peach Mango Energy Drink, 8 FL OZ Can (Pack of 6)",Energy Drinks
"Bucked Up Energy Drink, 300mg Caffeine, Blue Raz, 16 fl oz",Energy Drinks
"Monster Energy Ultra Rosa, Sugar Free Energy Drink, 16 fl oz",Energy Drinks
"Monster Energy Ultra Watermelon, 16 Fl Oz",Energy Drinks
"Bang Keto Coffee Cookies & Cream Craze High Protein Energy Drink, 15 oz Can",Energy Drinks
"Reign Total Body Fuel, White Gummy Bear, Performance Energy Drink, 16 fl oz",Energy Drinks
"Red Bull Energy Drink, Watermelon, 12 Fl Oz",Energy Drinks
"Bucked Up Energy Drink Low Stim, Rocket Pop, 16 fl oz, 100 mg Caffeine",Energy Drinks
"Rockstar Pure Zero Sugar Silver Ice Energy Drink, 16 oz Can",Energy Drinks
"Reign Total Body Fuel, Orange Dreamsicle, Performance Energy Drink, 16 fl oz",Energy Drinks
"V8 +SPARKLING ENERGY Strawberry Kiwi Energy Drink, 11.5 FL OZ (4 Pack)",Energy Drinks
"Bucked Up Big Game Energy Drink, Cotton Candy, 16 fl oz, 150 mg Caffeine",Energy Drinks
"Red Bull Energy Drink, Tropical, 12 Fl Oz",Energy Drinks
"Juice Monster Mango Loco, Energy + Juice, 16 fl oz",Energy Drinks
"Java Monster Loca Moca, Coffee + Energy Drink, 11 fl oz, 6 Pack",Energy Drinks
C4 Energy Drink + Frozen Bombsicle + Zero Sugar + Explosive Energy + 16oz Single Can,Energy Drinks
"V8 +ENERGY Orange Pineapple Energy Drink, 8 FL OZ Can (12 Pack)",Energy Drinks
"Rockstar Punched Fruit Punch Energy Drink, 16 oz Can",Energy Drinks
"Full Throttle, Original, Energy Drink, 16 fl oz, 8 Pack",Energy Drinks
"Rockstar Original Energy Drink, 16 oz, 4 Pack Cans",Energy Drinks
"Bang Cherry Blade Lemonade Energy Drink with Super Creatine, 16 oz Can",Energy Drinks
"Red Bull Energy Drink, Peach, 12 Fl Oz",Energy Drinks
"Celsius Sparkling Energy Drink  No Sugar or Preservatives  Kiwi Guava (4 Drinks, 12 Fl Oz. Each)",Energy Drinks
"Bang Blue Razz Energy Drink with Super Creatine, 16 oz Can",Energy Drinks
"Monster Energy Ultra Fiesta, Sugar Free Energy Drink, 16 fl oz",Energy Drinks
"CELSIUS On-The-Go Essential Energy Powder Packs, Dragonfruit Lime (Pack of 14)",Energy Drinks
"Monster Energy Ultra Sunrise, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Energy Drinks
"V8 +SPARKLING ENERGY Orange Pineapple Energy Drink, 11.5 FL OZ (24 Pk)",Energy Drinks
"Bucked Up Energy Drink, 300mg Caffeine, Blood Razz, 16 fl oz",Energy Drinks
"Starbucks Doubleshot Energy Vanilla Coffee Energy Drink, 15 oz Can",Energy Drinks
"Red Bull Energy Drink, Coconut Berry, 12 Fl Oz",Energy Drinks
"V8 +SPARKLING ENERGY Black Cherry Energy Drink, 11.5 FL OZ Can (Pack of 4)",Energy Drinks
"Eternal Energy Premium Energy Shot, Tropical Punch, 1.93 fl oz, 6 Count",Energy Drinks
"Monster Energy Ultra Fiesta, Ultra Fiesta, 16 oz. (Pack of 4)",Energy Drinks
"Kill Cliff Ignite Smashing Citrus, 12oz CLEAN ENERGY DRINK",Energy Drinks
"Rockstar Recovery Orange with Electrolytes Energy Drink, 16 oz Can",Energy Drinks
"Monster Energy Lo-Carb, Energy Drink, 16 fl oz, 12 Pack",Energy Drinks
"Juice Monster Pipeline Punch, Energy + Juice, 16 fl oz",Energy Drinks
"Monster Ultra Paradise, 16 Fl Oz",Energy Drinks
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Fuji Apple Pear (Single Can)",Energy Drinks
"Bang Sour Heads Energy Drink with Super Creatine, 16 oz Can",Energy Drinks
"Red Bull Energy Drink, Blueberry, 12 Fl Oz",Energy Drinks
"Alani Nu Sugar-Free Energy Drink, Cosmic Stardust, 12 oz Cans (Pack of 6)",Energy Drinks
"Starbucks Tripleshot Energy Mocha Extra Strength Coffee Energy Drink, 15 oz Can",Energy Drinks
"Monster Zero Ultra, 16 fl oz",Energy Drinks
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Single)",Energy Drinks
"Bucked Up Energy Drink, 300mg Caffeine, Mango Tango, 16 fl oz",Energy Drinks
"Monster Energy Ultra Watermelon, Sugar Free Energy Drink, 16 fl oz, 4 Pack",Energy Drinks
"Rockstar Original Energy Drink, 16 fl oz",Energy Drinks
"C4 Ultimate + Arctic Snow Cone + Energy Drink + Pump + Performance + 16 oz, Single Can",Energy Drinks
