product_name,category
"Great Value Pretzel, Mini Twists, 16 oz",Pretzels
"Great Value Pretzel Sticks, Fat Free, 16 oz",Pretzels
"Great Value Peanut Butter Filled Pretzel, 24 oz",Pretzels
"Dot's Homestyle Pretzels, Original Seasoned Pretzel Twists, 16 oz Family Size Bag",Pretzels
"Rold Gold Tiny Twists Cheddar Flavored Pretzels, 10 Oz.",Pretzels
"Snack Factory Pretzel Crisps, Original, Party Size, 14 Oz",Pretzels
"ROLD GOLD Tiny Pretzel Twists, 16 Oz",Pretzels
"SuperPretzel Original Fully Baked Soft Pretzels, 6 count, 13 oz",Pretzels
"Snack Factory Pretzel Crisps, Original, 7.2 Oz",Pretzels
"Flipz White Fudge Dipped Pretzels, 5 oz",Pretzels
"Snyder's of Hanover Pretzel Snaps, 16 oz",Pretzels
"Flipz Milk Chocolate Covered Pretzels, 7.5 Oz.",Pretzels
Freshness Guaranteed Back To School Vanilla  Frosted Pretzels 7 oz,Pretzels
"Dot's Homestyle Pretzels, Honey Mustard Seasoned Pretzel Twists, 16 oz Family Size Bag",Pretzels
"Rold Gold Pretzel Sticks, 16 Oz.",Pretzels
"Snyder's of Hanover Pretzels, Sourdough Hard Pretzels, Family Size 16 oz",Pretzels
"Snack Factory Pretzel Crisps, Garlic Parmesan, 7.2 oz",Pretzels
"Snyder's of Hanover Pretzels, Sourdough Nibblers, Family Size 16 oz Bag",Pretzels
"Snyder's of Hanover Pretzels, Mini Pretzels, Family Size 16 oz",Pretzels
"Snyder's of Hanover, Seasoned Twisted Pretzel Sticks, 12 Oz Bag",Pretzels
"Snyder's of Hanover, Nacho Cheese Twisted Pretzel Sticks, 12-Oz. Bag",Pretzels
"Snack Factory Pretzel Crisps, Everything, 7.2 oz",Pretzels
"Gluten Free by Glutino Pretzel Twists, Delicious Everyday Snack, Salted, 14.1 Ounce",Pretzels
"Snyder's of Hanover Pretzel Sticks, Family Size 16 oz",Pretzels
"Dot's Homestyle Pretzels, Southwest Seasoned Pretzel Twists, 16 oz Family Size Bag",Pretzels
"Dot's Homestyle Pretzels, Original Seasoned Pretzel Twists, 1.5 oz Snack Size Bags, 12 Ct",Pretzels
"Snyder's of Hanover, Sour Cream & Onion Twisted Pretzel Sticks, 12 Oz",Pretzels
"Snyder's of Hanover Pretzels, Olde Tyme Pretzels, 16 oz",Pretzels
Pretzilla Cheese-Filled Soft Pretzel Bread Bites 10.1oz,Pretzels
"Dot's Homestyle Snacks, Original Seasoned Baked Cheese Curls, 10.5 oz Family Size Bag",Pretzels
26 oz Utz Old Fashioned Sourdough Hards Pretzels Barrel,Pretzels
